doc_id,course,slot,value_doc,time_doc,source_doc,reliability_doc,title,text
d011,CLM010,date,2010-07-29,2010-07-29,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The highest temperature ever recorded was 38.2 °C (100.8 °F) at the VVC weather station and 39.0 °C (102.2 °F) in the center of Moscow and Domodedovo airport on July 29, 2010 during the unusual 2010 Northern Hemisphere summer heat waves. The average July temperature from 1981 to 2010 is 19.2 °C (66.6 °F). The lowest ever recorded temperature was −42.1 °C (−43.8 °F) in January 1940. The annual temperature rose from 5.0 °C (41.0 °F)[citation needed] to 5.8 °C (42.4 °F) in the new 1981–2010 normals. ""Record lowest temperature since 7.3 °C (45.1 °F) in 2000"".

Recorded date: 2010-07-29."
d012,CLM011,date,2011-06-23,2011-06-23,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
In fact the lowest temperature ever obtained in a macroscopic system was 20 nK, which was achieved in 1995 at NIST. A temperature of 450 ±80 pK in a Bose–Einstein condensate (BEC) of sodium atoms was achieved in 2003 by researchers at MIT. September 16, 1972. June 23, 2011. September 14, 1972.

Recorded date: 2011-06-23."
d013,CLM012,date,2008-10-10,2008-10-10,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
It then entered a pronounced decline, which accelerated markedly in October 2008. The TED spread, an indicator of perceived credit risk in the general economy, spiked up in July 2007, remained volatile for a year, then spiked even higher in September 2008, reaching a record 4.65% on October 10, 2008. The US unemployment rate increased to 10.1% by October 2009, the highest rate since 1983 and roughly twice the pre-crisis rate. Already-rising default rates on ""subprime"" and adjustable-rate mortgages (ARM) began to increase quickly thereafter. From September 2018 onward, as the economic and political news worsened, the bloated US stockmarkets began to deflate, while the VIX index trebled.

Recorded date: 2008-10-10."
d014,CLM013,date,2017-06-01,2017-06-01,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
In June 2017, Trump announced the withdrawal of the United States from the Paris Agreement, making the U.S. the only nation in the world to not ratify the agreement. Trump has pulled the United States out of the Paris climate accord, leaving the U.S. the only nation that has not joined the agreement. majority support   plurality support   majority oppose   plurality oppose On June 1, 2017, Donald Trump announced that the United States would withdraw from the Paris Agreement on climate change. In June 2017, Trump announced U.S. withdrawal from the Paris Agreement, a 2015 climate change accord reached by 200 nations to cut greenhouse gas emissions, defying broad global backing for the plan. He ended the Clean Power Plan, withdrew from the Paris Agreement on climate change mitigation, and urged for subsidies to increase fossil fuel production, calling man-made climate change a hoax.

Recorded date: 2017-06-01."
d015,CLM014,date,2006-08-31,2006-08-31,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
At an EU summit in October 2014, EU countries agreed on a new energy efficiency target of 27% or greater by 2030. They are: To help households and businesses transition to a low carbon future To streamline the adoption of efficient energy To make buildings more energy-efficient For governments to work in partnership and lead the way to energy efficiency The overriding agreement that governs this strategy is the National Partnership Agreement on Energy Efficiency. On August 31, 2006, the California Legislature reached an agreement with Governor Arnold Schwarzenegger to reduce the state's greenhouse-gas emissions, which rank at 12th-largest carbon emitter in the world, by 25 percent by the year 2020. The increased efficiency and reliability of the smart grid is expected to save consumers money and help reduce CO 2 emissions. ESB National Grid, Ireland's electric utility, in a 2004 study that, concluded that to meet the renewable energy targets set by the EU in 2001 would ""increase electricity generation costs by a modest 15%"" ""Impact of Wind Power Generation in Ireland on the Operation of Conventional Plant and the Economic Implications"" (PDF).

Recorded date: 2006-08-31."
d016,CLM015,date,2019-12-09,2019-12-09,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The Car of Tomorrow was first tested in December 2005, and was first revealed to the public in 2006, with numerous safety improvements being touted. In late 2007, the FBI announced that a partial DNA profile had been obtained from three organic samples found on Cooper's clip-on tie in 2001, though they later acknowledged that there is no evidence that the hijacker was the source of the sample material. Podesta stated, ""It is time for the government to declassify records that are more than 25 years old and to provide scientists with data that will assist in determining the true nature of the phenomena."" The Inspector General investigation by Michael E. Horowitz, published December 9, 2019, expressed doubts about the dossier's reliability and sources: The FBI concluded, among other things, that although consistent with known efforts by Russia to interfere in the 2016 U.S. elections, much of the material in the Steele election reports, including allegations about Donald Trump and members of the Trump campaign relied upon in the Carter Page FISA applications, could not be corroborated; that certain allegations were inaccurate or inconsistent with information gathered by the Crossfire H

Recorded date: 2019-12-09."
d017,CLM016,date,2014-03-24,2014-03-24,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Aqua carries six instruments for studies of water on the Earth's surface and in the atmosphere, of which four are still operating: Advanced Microwave Scanning Radiometer-EOS (AMSR-E) — measures cloud properties, sea surface temperature, near-surface wind speed, radiative energy flux, surface water, ice and snow. Cooler A telemetry became frozen on March 24, 2014, but this had no impact on science gathering. Starting from 1979 with Hakucho (CORSA-b), for nearly two decades Japan had achieved continuous observation with its Hinotori, Tenma, Ginga and ASCA (ASTRO-A through D) x-ray observation satellites. However, due to various reasons,[specify] both satellites had a much shorter than expected life term. Using the mapper's reflectance spectra, indirect lighting of areas in shadow confirmed water ice within 20° latitude of both poles in 2018.

Recorded date: 2014-03-24."
d018,CLM017,date,2008-12-17,2008-12-17,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The 2007 Fourth Assessment Report compiled by the IPCC (AR4) noted that ""changes in atmospheric concentrations of greenhouse gases and aerosols, land cover and solar radiation alter the energy balance of the climate system"", and concluded that ""increases in anthropogenic greenhouse gas concentrations is very likely to have caused most of the increases in global average temperatures since the mid-20th century"". On the day of publication, the ExxonMobil funded lobbying website Tech Central Station issued a press release headed ""TCS Newsflash: Important Global Warming Study Audited – Numerous Errors Found; New Research Reveals the UN IPCC 'Hockey Stick' Theory of Climate Change is Flawed"" announcing that ""Canadian business executive Stephen McIntyre and economist Ross McKitrick have presented more evidence that the 20th century wasn't the warmest on record"". At a meeting of the American Geophysical Union (December 17, 2008), scientists detailed evidence in support of the controversial idea that the introduction of large-scale rice agriculture in Asia, coupled with extensive deforestation in Europe began to alter world climate by pumping significant amounts of greenhouse gases into the

Recorded date: 2008-12-17."
d019,CLM018,date,2018-11-04,2018-11-04,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
""High Concentrations of Silica Indicate Considerable Water Activity on Mars – SpaceRef"". On November 4, 2018, geologists presented evidence, based on studies in Gale by the Curiosity rover, that there was plenty of water on early Mars. In 2009, further evidence was provided that changes in solar insolation provide the initial trigger for the earth to warm after an Ice Age, with secondary factors like increases in greenhouse gases accounting for the magnitude of the change. There is considerable evidence that over the very recent period of the last 100–1000 years, the sharp increases in human activity, especially the burning of fossil fuels, has caused the parallel sharp and accelerating increase in atmospheric greenhouse gases which trap the sun's heat. Eight times as much deuterium was inferred at the polar deposits of Mars than exists on Earth (VSMOW), suggesting that ancient Mars had significantly higher levels of water.

Recorded date: 2018-11-04."
d020,CLM019,date,2008-07-06,2008-07-06,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Australia could experience more severe droughts and they could become more frequent in the future, a government-commissioned report said on July 6, 2008. Some evidence suggests that droughts have been occurring more frequently because of global warming and they are expected to become more frequent and intense in Africa, southern Europe, the Middle East, most of the Americas, Australia, and Southeast Asia. ""The Longest Running Title Droughts in Sports"". Originally it was believed that the drought in the Sahel primarily was caused by humans over-using natural resources in the region through overgrazing, deforestation and poor land management. Increased variability and intensity of rainfall as a result of climate change is expected to produce both more severe droughts and flooding, with potentially serious consequences for water supply and for pollution from combined sewer overflows.

Recorded date: 2008-07-06."
d021,CLM020,date,2007-08-21,2007-08-21,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The 2007 melt season let to a minimum 39% below the 1979–2000 average, and for the first time in human memory, the fabled Northwest Passage opened completely. On August 21, 2007, the Northwest Passage became open to ships without the need of an icebreaker. The Northwest Passage opened again on August 25, 2008. On September 14, 2007, the European Space Agency stated that ice loss that year had opened up the historically impassable passage, setting a new low of ice cover as seen in satellite measurements which went back to 1978. The extreme loss in 2007 rendered the passage ""fully navigable"".

Recorded date: 2007-08-21."
d022,CLM021,date,2017-01-18,2017-01-18,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
On May 9, Trump named New Jersey Governor Chris Christie to head a team to plan the transition of the presidency in the event of a Trump victory. President-elect Donald J. Trump today announced the formation of the White House National Trade Council (NTC) and his selection of Dr. Peter Navarro to serve as Assistant to the President and Director of Trade and Industrial Policy. Soon after the election, he was appointed chairman of President-elect Trump's transition team. During his January 18, 2017, confirmation hearing to be EPA Administrator, he said that ""the climate is changing, and human activity contributes to that in some manner"". Head Stacks Agency With Climate Change Skeptics"".

Recorded date: 2017-01-18."
d023,CLM022,date,2008-09-11,2008-09-11,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Climate change means a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods. The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options. A changing environment will affect Alaska more than any other state...I'm not one though who would attribute it to being man-made Goldman, Russell (September 11, 2008). Palin considers herself a conservationist and during the 2008 campaign demonstrated her skepticism about global warming politics, saying ""of global warming, climate change, whether it's entirely, wholly caused by man's activities or is part of the cyclical nature of our planet...John McCain and I agree that we have to make sure that we're doing all we can to cut down on pollution."" After the election and the Climat

Recorded date: 2008-09-11."
d024,CLM023,date,2010-06-19,2010-06-19,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
During this time, Gore wrote Earth in the Balance, a text which became the first book written by a sitting U.S. On June 19, 2010, Lieberman introduced a bill called ""Protecting Cyberspace as a National Asset Act of 2010"", which he co-wrote with Senator Susan Collins (R-ME) and Senator Thomas Carper (D-DE). A release from the presidential campaign of presumptive Democratic nominee Al Gore listed Kerry on the short list to be selected as the vice-presidential nominee, along with North Carolina Senator John Edwards, Indiana Senator Evan Bayh, Missouri Congressman Richard Gephardt, New Hampshire Governor Jeanne Shaheen and Connecticut Senator Joe Lieberman. He and Democratic senator Joe Lieberman wrote the legislation that created the 9/11 Commission, while he and Democratic senator Fritz Hollings co-sponsored the Aviation and Transportation Security Act that federalized airport security. On December 10, 2009, Graham co-sponsored a letter to President Barack Obama along with then Senators John Kerry and Joe Lieberman announcing their commitment to passing a climate change bill and outlining its framework.

Recorded date: 2010-06-19."
d025,CLM024,date,2017-03-09,2017-03-09,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
""How do we know more CO2 is causing warming?"". Cumulative anthropogenic (i.e., human-emitted) emissions of CO 2 from fossil fuel use are a major cause of global warming, and give some indication of which countries have contributed most to human-induced climate change. On March 9, 2017, in an interview on CNBC's Squawk Box, Pruitt stated that he ""would not agree that"" carbon dioxide is ""a primary contributor to the global warming that we see"" backing up his claim by stating that ""measuring with precision human activity on the climate is something very challenging to do and there's tremendous disagreement about the degree of impact."" In March 2017, Pruitt said that he does not believe that human activities, specifically carbon dioxide emissions, are a primary contributor to climate change, a view which is in contradiction with the scientific consensus. ""EPA chief Scott Pruitt says carbon dioxide is not a primary contributor to global warming"".

Recorded date: 2017-03-09."
d026,CLM025,date,2010-12-14,2010-12-14,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
(MSNBC) (New York Times) (Nature) 28 June – An international team of astronomers discovers evidence that our Milky Way had an encounter with a small galaxy or massive dark matter structure perhaps as recently as 100 million years ago, and as a result of that encounter it is still ringing like a bell. Scientific discussion takes place in journal articles that are peer-reviewed, which scientists subject to assessment every couple of years in the Intergovernmental Panel on Climate Change reports. Ben Keene, the atlas's editor, commented: ""In the last two or three decades, global warming has reduced the size of glaciers throughout the Arctic and earlier this year, news sources confirmed what climate scientists already knew: water, not rock, lay beneath this ice bridge on the east coast of Greenland. However, microbiologist David Pearce of the University of Northumbria in Newcastle, UK, stated that the DNA could simply be contamination from the drilling process, and not representative of Lake Vostok itself. Life may have survived 'snowball Earth' in ocean pockets BBC News online (2010-12-14) report on research presented in the journal Geology by Dr Dan Le Heron (et al.)

Recorded date: 2010-12-14."
d027,CLM026,date,2004-12-03,2004-12-03,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
In 2004, a paper was published in the journal Science by Naomi Oreskes titled Beyond the Ivory Tower: The Scientific Consensus on Climate Change. Her work came to public attention in 2004 with the publication of ""The Scientific Consensus on Climate Change,"" in Science, in which she wrote that there was no significant disagreement in the scientific community about the reality of global warming from human causes. In 2004, the geologist and historian of science Naomi Oreskes summarized a study of the scientific literature on climate change. The Working Group I report (WG1) was published in September 2013. Naomi Oreskes (December 3, 2004).

Recorded date: 2004-12-03."
d028,CLM027,date,2000-12-31,2000-12-31,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The 20th (twentieth) century was a century that began on January 1, 1901 and ended on December 31, 2000. The average global temperature on Earth has increased by about 0.8° Celsius (1.4° Fahrenheit) since 1880; Two-thirds of the warming has occurred since 1975, at a rate of roughly 0.15-0.20 °C per decade. Between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well. The period from 1983 to 2012 was likely the warmest 30-year period of the last 1400 years in the Northern Hemisphere, where such assessment is possible (medium confidence). An example of such an episode is the slower rate of surface temperature increase from 1998 to 2012, which was dubbed the global warming hiatus.

Recorded date: 2000-12-31."
d029,CLM028,date,2010-07-29,2010-07-29,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
In Israel, the year 2010 was the hottest on record, and average temperatures were 2-3 degrees Celsius higher than the average. Global warming is the long-term rise in the average temperature of the Earth's climate system. Between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well. Currently, surface temperatures are rising by about 0.2 °C per decade. The highest temperature ever recorded was 38.2 °C (100.8 °F) at the VVC weather station and 39.0 °C (102.2 °F) in the center of Moscow and Domodedovo airport on July 29, 2010 during the unusual 2010 Northern Hemisphere summer heat waves.

Recorded date: 2010-07-29."
d030,CLM029,date,2013-11-08,2013-11-08,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
His meta-analysis concluded that in 2012 in the United States, wind turbines resulted in the deaths of 888,000 bats and 573,000 birds, including 83,000 birds of prey. An estimated 1 to 9 million birds are killed every year by tall buildings in Toronto, Ontario, Canada alone, according to the wildlife conservation organization Fatal Light Awareness Program. A 2013 study produced an estimate that wind turbines killed more than 600,000 bats in the U.S. the previous year, with the greatest mortality occurring in the Appalachian Mountains. Some earlier studies had produced estimates of between 33,000 and 888,000 bat deaths per year. 600,000 bats killed at wind energy facilities in 2012, study says, LA Times, November 8, 2013.

Recorded date: 2013-11-08."
d031,CLM030,date,2013-05-09,2013-05-09,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
In 2013, CO2 readings taken at the world's primary benchmark site in Mauna Loa surpassing 400 ppm for the first time. Measurements of CO 2 from the Mauna Loa observatory show that concentrations have increased from about 313 parts per million (ppm) in 1960, passing the 400 ppm milestone on May 9, 2013. The measurements collected at Mauna Loa Observatory show a steady increase in mean atmospheric CO 2 concentration from 313 parts per million by volume (ppmv) in March 1958 to 406 ppmv in November 2018, with an increase of ~2 ppmv CO 2 per year. Since 1958, initially under the direction of Charles Keeling, followed by his son Ralph and later Elmer Robinson, Mauna Loa Observatory (MLO) has been monitoring and collecting data relating to atmospheric change, and is known especially for the continuous monitoring of atmospheric carbon dioxide (CO2), which is sometimes referred to as the Keeling Curve. According to the NOAA, Mauna Loa is the world's oldest continuous CO2 monitoring station, and the world's primary benchmark site for measurement of the gas.

Recorded date: 2013-05-09."
d032,CLM031,date,2009-07-29,2009-07-29,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
As a result, for example, US stock prices reached record highs. Milwaukee tends to experience highs that are 90 °F (32 °C) on or above seven days per year, and lows at or below 0 °F (−18 °C) on six to seven nights. On average, there are 77 days of 90 °F (32 °C)+ highs, 8.1 days per winter where the high does not exceed 50 °F (10 °C), and 8.0 nights with freezing lows annually. Winters are cool and wet with December, the coolest month, averaging 40.6 °F (4.8 °C), with 28 annual days with lows that reach the freezing mark, and 2.0 days where the temperature stays at or below freezing all day; the temperature rarely lowers to 20 °F (−7 °C). The hottest officially recorded temperature was 103 °F (39 °C) on July 29, 2009; the coldest recorded temperature was 0 °F (−18 °C) on January 31, 1950; the record cold daily maximum is 16 °F (−9 °C) on January 14, 1950, while, conversely, the record warm daily minimum is 71 °F (22 °C) the day the official record high was set.

Recorded date: 2009-07-29."
d033,CLM032,date,2000-01-01,2000-01-01,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
With average temperature +8.1 °C (47 °F). The Iranian / Persian calendar, currently used in Iran and Afghanistan, also has 12 months. All of these events can have wide variations of more than a month from year to year. Its average duration is 365.256363004 days (365 d 6 h 9 min 9.76 s) (at the epoch J2000.0 = January 1, 2000, 12:00:00 TT). It has a duration of approximately 354.37 days.

Recorded date: 2000-01-01."
d034,CLM033,date,2010-08-28,2010-08-28,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
IPCC AR5 WG1 Summary for Policymakers 2013, p. 4: Warming of the climate system is unequivocal, and since the 1950s, many of the observed changes are unprecedented over decades to millennia. He was a lead author of the 2001 and 2007 IPCC Scientific Assessment of Climate Change (see IPCC Fourth Assessment Report) and serves on the Scientific Steering Group for the Climate Variability and Predictability (CLIVAR) program. In October 2009, the leaders of 18 US scientific societies and organizations sent an open letter to the United States Senate reaffirming the scientific consensus that climate change is occurring and is primarily caused by human activities. Retrieved 2010-08-28. the leading international network of climate scientists has concluded for the first time that global warming is 'unequivocal' and that human activity is the main driver, 'very likely' causing most of the rise in temperatures since 1950 Stevens, William K. (2007-02-06). The New York Times reported that ""the leading international network of climate scientists has concluded for the first time that global warming is 'unequivocal' and that human activity is the main driver, 'very likely' causing most of the rise in

Recorded date: 2010-08-28."
d035,CLM034,date,2002-01-31,2002-01-31,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Recent decades have witnessed several dramatic collapses of large ice shelves around the coast of Antarctica, especially along the Antarctic Peninsula. Concerns have been raised that disruption of ice shelves may result in increased glacial outflow from the continental ice mass. In the last several decades, glaciologists have observed consistent decreases in ice shelf extent through melt, calving, and complete disintegration of some shelves. Two sections of Antarctica's Larsen Ice Shelf broke apart into hundreds of unusually small fragments (hundreds of meters wide or less) in 1995 and 2002, Larsen C calved a huge ice island in 2017. In a 35-day period beginning on January 31, 2002, about 3,250 km2 (1,250 sq mi) of shelf area disintegrated.

Recorded date: 2002-01-31."
d036,CLM035,date,2014-05-06,2014-05-06,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
Research shows that the Arctic may become ice-free in the summer for the first time in human history by 2040. ""US Navy predicts summer ice free Arctic by 2016"". Given the estimated trend and the volume estimate for October–November of 2007 at less than 9,000 km3, one can project that at this rate it would take only 9 more years or until 2016 ± 3 years to reach a nearly ice-free Arctic Ocean in summer. The Third U.S. National Climate Assessment (NCA), released May 6, 2014, reports that the Arctic Ocean is expected to be ice free in summer before mid-century. Models that best match historical trends project a nearly ice-free Arctic in the summer by the 2030s.

Recorded date: 2014-05-06."
d037,CLM036,date,2004-09-26,2004-09-26,wikipedia_revision,High,Wikipedia,"Wikipedia — Evidence:
The most severe damage came from a 30-plus-foot storm surge along the Mississippi coast and the north shore of Lake Pontchartrain in Louisiana and breaks in the levies along a canal in New Orleans. Early on September 17, 1928, the Okeechobee hurricane made landfall near West Palm Beach as a category-4 storm and crossed Lake Okeechobee shortly thereafter. August 28, 1949, a category-4 hurricane struck West Palm Beach with maximum sustained winds of 150 mph (240 km/h), causing considerable damage. Jeanne struck near the same location as a category-3 hurricane on September 26, 2004. On October 24, 2005, Hurricane Wilma struck Collier County as a category-3 hurricane.

Recorded date: 2004-09-26."
